date,World
10/11/2020,381402
10/12/2020,337056
10/13/2020,310241
10/14/2020,351366
10/15/2020,385170
10/16/2020,399170
10/17/2020,396579
10/18/2020,430830
10/19/2020,383813
10/20/2020,352436
10/21/2020,439271
10/22/2020,482887
10/23/2020,474975
10/24/2020,462827
10/25/2020,519448
10/26/2020,457601
10/27/2020,410284
10/28/2020,505049
10/29/2020,546466
10/30/2020,534988
10/31/2020,518094
11/1/2020,565687
11/2/2020,491193
11/3/2020,509080
11/4/2020,526301
11/5/2020,571882
11/6/2020,577640
11/7/2020,574195
11/8/2020,593925
11/9/2020,529335
11/10/2020,451384
11/11/2020,569644
11/12/2020,617111
11/13/2020,633515
11/14/2020,616907
11/15/2020,621124
11/16/2020,547409
11/17/2020,486832
11/18/2020,555633
11/19/2020,629591
11/20/2020,627258
11/21/2020,630337
11/22/2020,627133
11/23/2020,542222
11/24/2020,486373
11/25/2020,556500
11/26/2020,609578
11/27/2020,660898
11/28/2020,587153
11/29/2020,587071
11/30/2020,525512
12/1/2020,489308
12/2/2020,551705
12/3/2020,648899
12/4/2020,670500
12/5/2020,664817
12/6/2020,655289
12/7/2020,572272
12/8/2020,523160
12/9/2020,585724
12/10/2020,681256
12/11/2020,682946
12/12/2020,660927
12/13/2020,688875
12/14/2020,588287
12/15/2020,528711
12/16/2020,624887
12/17/2020,670009
12/18/2020,733824
12/19/2020,721985
12/20/2020,681721
12/21/2020,586551
12/22/2020,544628
12/23/2020,609498
12/24/2020,670997
12/25/2020,671380
12/26/2020,598375
12/27/2020,459149
12/28/2020,460577
12/29/2020,503136
12/30/2020,598002
12/31/2020,736427
1/1/2021,741858
1/2/2021,648285
1/3/2021,555267
1/4/2021,575985
1/5/2021,582619
1/6/2021,664015
1/7/2021,798003
1/8/2021,773289
1/9/2021,802971
1/10/2021,786463
1/11/2021,680972
1/12/2021,606136
1/13/2021,665852
1/14/2021,736312
1/15/2021,725518
1/16/2021,705398
1/17/2021,723610
1/18/2021,605777
1/19/2021,537331
1/20/2021,569664
1/21/2021,632015
1/22/2021,654939
1/23/2021,615817
1/24/2021,620085
1/25/2021,526879
1/26/2021,441751
1/27/2021,515325
1/28/2021,584441
1/29/2021,584849
1/30/2021,548607
1/31/2021,551547
2/1/2021,463105
2/2/2021,384766
2/3/2021,446763
2/4/2021,499299
2/5/2021,473640
2/6/2021,465670
2/7/2021,453028
2/8/2021,387462
2/9/2021,334285
2/10/2021,362160
2/11/2021,416719
2/12/2021,426459
2/13/2021,408544
2/14/2021,392129
2/15/2021,331694
2/16/2021,296590
2/17/2021,340692
2/18/2021,377509
2/19/2021,383649
2/20/2021,371715
2/21/2021,377014
2/22/2021,345349
2/23/2021,308295
2/24/2021,351424
2/25/2021,425501
2/26/2021,420904
2/27/2021,408098
2/28/2021,399759
3/1/2021,357197
3/2/2021,312827
3/3/2021,367287
3/4/2021,422856
3/5/2021,431879
3/6/2021,419553
3/7/2021,425719
3/8/2021,367676
3/9/2021,368595
3/10/2021,374290
3/11/2021,457747
3/12/2021,470130
3/13/2021,458484
3/14/2021,473714
3/15/2021,409417
3/16/2021,376051
3/17/2021,427423
3/18/2021,535106
3/19/2021,537180
3/20/2021,523685
3/21/2021,531899
3/22/2021,481538
3/23/2021,440937
3/24/2021,504199
3/25/2021,597782
3/26/2021,615144
3/27/2021,589256
3/28/2021,601209
3/29/2021,545475
3/30/2021,486349
3/31/2021,539329
4/1/2021,646221
4/2/2021,650667
4/3/2021,634932
4/4/2021,569786
4/5/2021,560862
4/6/2021,501235
4/7/2021,574058
4/8/2021,729986
4/9/2021,753389
4/10/2021,725412
4/11/2021,745253
4/12/2021,681793
4/13/2021,620882
4/14/2021,704709
4/15/2021,808497
4/16/2021,800941
4/17/2021,788576
4/18/2021,821097
4/19/2021,776278
4/20/2021,708131
4/21/2021,764918
4/22/2021,885422
4/23/2021,887941
4/24/2021,829772
4/25/2021,840626
4/26/2021,792408
4/27/2021,705191
4/28/2021,767910
4/29/2021,878779
4/30/2021,867083
5/1/2021,844094
5/2/2021,824090
5/3/2021,757290
5/4/2021,684158
5/5/2021,735809
5/6/2021,843233
5/7/2021,835018
5/8/2021,806006
5/9/2021,805022
5/10/2021,716209
5/11/2021,646904
5/12/2021,645966
5/13/2021,755297
5/14/2021,721227
5/15/2021,676693
5/16/2021,663760
5/17/2021,622324
5/18/2021,555370
5/19/2021,571646
5/20/2021,647844
5/21/2021,632470
5/22/2021,626452
5/23/2021,572201
5/24/2021,528095
5/25/2021,444903
5/26/2021,483185
5/27/2021,569907
5/28/2021,554225
5/29/2021,509662
5/30/2021,459247
5/31/2021,464613
6/1/2021,385257
6/2/2021,400619
6/3/2021,461566
6/4/2021,479486
6/5/2021,442706
6/6/2021,381002
6/7/2021,383209
6/8/2021,323744
6/9/2021,346983
6/10/2021,382427
6/11/2021,425996
6/12/2021,405928
6/13/2021,387333
6/14/2021,366047
6/15/2021,306564
6/16/2021,317771
6/17/2021,386478
6/18/2021,408893
6/19/2021,379983
6/20/2021,378593
6/21/2021,348277
6/22/2021,307507
6/23/2021,325307
6/24/2021,414575
6/25/2021,440738
6/26/2021,399070
6/27/2021,391500
6/28/2021,372807
6/29/2021,325899
6/30/2021,357542
7/1/2021,423107
7/2/2021,409690
7/3/2021,434635
7/4/2021,419635
7/5/2021,391237
7/6/2021,351525
7/7/2021,403496
7/8/2021,488526
7/9/2021,493552
7/10/2021,643448
7/11/2021,475928
7/12/2021,445534
7/13/2021,409892
7/14/2021,490899
7/15/2021,551632
7/16/2021,575006
7/17/2021,572669
7/18/2021,540658
7/19/2021,476027
7/20/2021,442385
7/21/2021,517684
7/22/2021,546603
7/23/2021,572561
7/24/2021,585093
7/25/2021,622543
7/26/2021,498119
7/27/2021,465885
7/28/2021,600156
7/29/2021,658600
7/30/2021,661137
7/31/2021,640841
8/1/2021,615165
8/2/2021,545120
8/3/2021,505012
8/4/2021,625099
8/5/2021,677082
8/6/2021,727267
8/7/2021,686261
8/8/2021,651385
8/9/2021,596876
8/10/2021,525787
8/11/2021,617525
8/12/2021,698032
8/13/2021,710072
8/14/2021,714332
8/15/2021,651536
8/16/2021,590002
8/17/2021,543330
8/18/2021,627469
8/19/2021,735922
8/20/2021,730149
8/21/2021,707530
8/22/2021,655899
8/23/2021,572149
8/24/2021,547106
8/25/2021,646045
8/26/2021,717307
8/27/2021,717110
8/28/2021,715323
8/29/2021,661767
8/30/2021,571899
8/31/2021,515848
9/1/2021,607670
9/2/2021,691722
9/3/2021,695383
9/4/2021,672465
9/5/2021,613913
9/6/2021,530172
9/7/2021,501082
9/8/2021,560626
9/9/2021,568191
9/10/2021,599350
9/11/2021,618644
9/12/2021,563580
9/13/2021,493394
9/14/2021,460149
9/15/2021,517560
9/16/2021,567455
9/17/2021,556922
9/18/2021,577299
9/19/2021,519658
9/20/2021,579802
9/21/2021,424482
9/22/2021,476447
9/23/2021,510447
9/24/2021,534300
9/25/2021,517459
9/26/2021,471646
9/27/2021,400072
9/28/2021,377315
9/29/2021,460177
9/30/2021,481286
10/1/2021,488021
10/2/2021,485925
10/3/2021,434606
10/4/2021,355052
10/5/2021,352522
10/6/2021,436084
10/7/2021,464131
10/8/2021,472061
10/9/2021,454887
10/10/2021,420802
10/11/2021,350570
10/12/2021,342948
10/13/2021,430990
10/14/2021,447708
10/15/2021,444230
10/16/2021,452515
10/17/2021,416548
10/18/2021,342300
10/19/2021,352465
10/20/2021,454217
10/21/2021,471390
10/22/2021,467879
10/23/2021,482658
10/24/2021,421071
10/25/2021,338853
10/26/2021,334326
10/27/2021,478955
